winner,opening_eco,opening_name,time_control,black_rating_group,white_rating_group
white,B02,Alekhine Defense: Scandinavian Variation,blitz,intermediate,intermediate
white,B02,Alekhine Defense: Scandinavian Variation,blitz,advanced,advanced
white,B02,Alekhine Defense: Scandinavian Variation,blitz,intermediate,intermediate
white,B02,Alekhine Defense: Scandinavian Variation,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Scandinavian Variation,blitz,intermediate,intermediate
draw,B02,Alekhine Defense: Scandinavian Variation,rapid,intermediate,intermediate
black,B02,Alekhine Defense: Scandinavian Variation,blitz,intermediate,intermediate
black,B02,Alekhine Defense: Scandinavian Variation,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Scandinavian Variation,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Scandinavian Variation |  Geschev Gambit,blitz,intermediate,intermediate
white,B02,Alekhine Defense: Scandinavian Variation |  Geschev Gambit,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Scandinavian Variation |  Geschev Gambit,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Steiner Variation,blitz,intermediate,intermediate
black,B02,Alekhine Defense: The Squirrel,blitz,beginner,beginner
white,B02,Alekhine Defense: Two Pawn Attack,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Two Pawn Attack,blitz,intermediate,intermediate
white,B02,Alekhine Defense: Two Pawn Attack,blitz,intermediate,intermediate
black,B02,Alekhine Defense: Two Pawn Attack,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Two Pawn Attack,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Two Pawn Attack,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Two Pawn Attack,bullet,intermediate,intermediate
white,B02,Alekhine Defense: Two Pawn Attack,bullet,beginner,beginner
white,B02,Alekhine Defense: Two Pawn Attack,blitz,intermediate,intermediate
white,B02,Alekhine Defense: Two Pawn Attack |  Lasker Variation,bullet,intermediate,intermediate
black,B02,Alekhine Defense: Two Pawn Attack |  Lasker Variation,rapid,beginner,beginner
draw,B02,Alekhine Defense: Two Pawn Attack |  Lasker Variation,classical,intermediate,intermediate
black,E00,Amar Opening,bullet,intermediate,intermediate
white,E00,Amar Opening,bullet,intermediate,intermediate
white,E00,Amar Opening,blitz,intermediate,intermediate
black,E00,Amar Opening,blitz,intermediate,intermediate
white,E00,Amar Opening,blitz,intermediate,intermediate
black,E00,Amar Opening,rapid,beginner,beginner
white,E00,Amar Opening,bullet,intermediate,intermediate
black,D00,Amazon Attack,blitz,intermediate,intermediate
black,D00,Amazon Attack,blitz,beginner,beginner
white,D00,Amazon Attack,blitz,beginner,beginner
black,D00,Amazon Attack,rapid,intermediate,intermediate
white,D00,Amazon Attack: Siberian Attack,bullet,intermediate,intermediate
black,A00,Anderssen Opening,classical,intermediate,intermediate
white,A00,Anderssen Opening,bullet,intermediate,intermediate
black,A00,Anderssen Opening,blitz,intermediate,intermediate
white,A00,Anderssen Opening,bullet,intermediate,intermediate
black,A00,Anderssen Opening,rapid,intermediate,intermediate
white,A00,Anderssen Opening,rapid,advanced,advanced
white,A00,Anderssen Opening,bullet,intermediate,intermediate
black,A00,Anderssen Opening,blitz,intermediate,intermediate
white,A00,Anderssen Opening,bullet,advanced,advanced
white,A00,Anderssen Opening,bullet,intermediate,intermediate
white,A00,Anderssen Opening,bullet,intermediate,intermediate
white,A00,Anderssen Opening,blitz,intermediate,intermediate
white,A00,Anderssen Opening,bullet,intermediate,intermediate
black,A00,Anderssen Opening,blitz,intermediate,intermediate
draw,A00,Anderssen Opening,bullet,intermediate,intermediate
white,A00,Anderssen Opening,bullet,intermediate,intermediate
white,A00,Anderssen Opening,bullet,intermediate,intermediate
white,A00,Anderssen Opening,bullet,intermediate,intermediate
white,A00,Anderssen Opening,blitz,intermediate,intermediate
black,A00,Anderssen Opening,bullet,intermediate,intermediate
white,A40,Australian Defense,bullet,intermediate,intermediate
black,B00,Barnes Defense,blitz,intermediate,intermediate
black,B00,Barnes Defense,rapid,intermediate,intermediate
black,B00,Barnes Defense,bullet,beginner,beginner
white,B00,Barnes Defense,blitz,intermediate,intermediate
white,B00,Barnes Defense,blitz,intermediate,intermediate
white,B00,Barnes Defense,bullet,intermediate,intermediate
white,B00,Barnes Defense,blitz,beginner,beginner
white,B00,Barnes Defense,bullet,beginner,beginner
white,B00,Barnes Defense,rapid,beginner,beginner
draw,A00,Barnes Opening: Walkerling,blitz,intermediate,intermediate
white,A00,Barnes Opening: Walkerling,bullet,intermediate,intermediate
white,A57,Benko Gambit,bullet,intermediate,intermediate
black,A57,Benko Gambit,blitz,intermediate,intermediate
white,A57,Benko Gambit,bullet,intermediate,intermediate
black,A57,Benko Gambit,bullet,intermediate,intermediate
white,A57,Benko Gambit,bullet,advanced,advanced
white,A58,Benko Gambit Accepted |  Fianchetto Variation,classical,advanced,advanced
white,A58,Benko Gambit Accepted |  Fianchetto Variation,blitz,advanced,advanced
black,A58,Benko Gambit Accepted |  Fully Accepted Variation,bullet,advanced,advanced
white,A58,Benko Gambit Accepted |  Fully Accepted Variation,bullet,intermediate,intermediate
black,A58,Benko Gambit Accepted |  Fully Accepted Variation,blitz,advanced,advanced
white,A57,Benko Gambit Accepted |  Pawn Return Variation,bullet,advanced,advanced
black,A59,Benko Gambit Accepted |  Yugoslav |  without 7...Bxf1,blitz,advanced,advanced
black,A57,Benko Gambit Declined |  Hjoerring Countergambit,bullet,intermediate,intermediate
black,A57,Benko Gambit Declined |  Main Line,blitz,intermediate,intermediate
white,A57,Benko Gambit Declined |  Quiet Line,bullet,advanced,advanced
white,A56,Benoni Defense,rapid,intermediate,intermediate
black,A56,Benoni Defense,bullet,intermediate,intermediate
black,A56,Benoni Defense,blitz,intermediate,intermediate
black,A56,Benoni Defense,blitz,advanced,advanced
white,A56,Benoni Defense,bullet,intermediate,intermediate
black,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
draw,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
white,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
draw,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
white,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
white,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
black,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
black,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
white,A43,Benoni Defense: Benoni Gambit Accepted,rapid,intermediate,intermediate
draw,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
black,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
draw,A43,Benoni Defense: Benoni Gambit Accepted,blitz,intermediate,intermediate
black,A43,Benoni Defense: Benoni Gambit Accepted,rapid,intermediate,intermediate
black,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
white,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
white,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
draw,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
black,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
draw,A43,Benoni Defense: Benoni Gambit Accepted,bullet,intermediate,intermediate
black,A43,Benoni Defense: Benoni Gambit |  Schlenker Defense,blitz,intermediate,intermediate
white,A43,Benoni Defense: Benoni-Indian Defense,blitz,advanced,advanced
black,A43,Benoni Defense: Benoni-Indian Defense,blitz,advanced,advanced
black,A43,Benoni Defense: Benoni-Indian Defense,rapid,intermediate,intermediate
white,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,bullet,intermediate,intermediate
black,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,bullet,advanced,advanced
white,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,blitz,advanced,advanced
white,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,bullet,intermediate,intermediate
white,A70,Benoni Defense: Classical Variation,bullet,intermediate,intermediate
white,A70,Benoni Defense: Classical Variation,rapid,advanced,advanced
draw,A71,Benoni Defense: Classical Variation |  Averbakh-Grivas Attack,blitz,advanced,advanced
black,A73,Benoni Defense: Classical Variation |  Main Line,bullet,intermediate,intermediate
black,A70,Benoni Defense: Classical Variation |  New York Variation,rapid,advanced,advanced
draw,A43,Benoni Defense: Cormorant Gambit,blitz,intermediate,intermediate
white,A56,Benoni Defense: Czech Benoni Defense,bullet,intermediate,intermediate
black,A56,Benoni Defense: Czech Benoni Defense,bullet,intermediate,intermediate
black,A56,Benoni Defense: Czech Benoni Defense,bullet,intermediate,intermediate
black,A57,Benoni Defense: Hromadka System,bullet,beginner,beginner
white,A57,Benoni Defense: Hromadka System,bullet,intermediate,intermediate
black,A65,Benoni Defense: King's Pawn Line,rapid,intermediate,intermediate
black,A60,Benoni Defense: Modern Variation,bullet,intermediate,intermediate
white,A60,Benoni Defense: Modern Variation,bullet,intermediate,intermediate
white,A60,Benoni Defense: Modern Variation |  Snake Variation,bullet,intermediate,intermediate
white,A43,Benoni Defense: Old Benoni,bullet,intermediate,intermediate
black,A43,Benoni Defense: Old Benoni,rapid,intermediate,intermediate
white,A43,Benoni Defense: Old Benoni,blitz,intermediate,intermediate
white,A67,Benoni Defense: Taimanov Variation,bullet,advanced,advanced
black,A02,Bird Opening,blitz,intermediate,intermediate
draw,A03,Bird Opening,blitz,beginner,beginner
draw,A02,Bird Opening,bullet,intermediate,intermediate
black,A03,Bird Opening,rapid,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
white,A02,Bird Opening,blitz,intermediate,intermediate
white,A02,Bird Opening,blitz,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
white,A02,Bird Opening,blitz,intermediate,intermediate
white,A02,Bird Opening,bullet,beginner,beginner
black,A02,Bird Opening,blitz,intermediate,intermediate
black,A02,Bird Opening,blitz,intermediate,intermediate
black,A03,Bird Opening,bullet,intermediate,intermediate
white,A02,Bird Opening,rapid,beginner,beginner
black,A02,Bird Opening,bullet,intermediate,intermediate
white,A02,Bird Opening,blitz,intermediate,intermediate
draw,A02,Bird Opening,blitz,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
white,A02,Bird Opening,bullet,intermediate,intermediate
black,A03,Bird Opening,rapid,intermediate,intermediate
white,A02,Bird Opening,rapid,intermediate,intermediate
white,A02,Bird Opening,bullet,intermediate,intermediate
white,A02,Bird Opening,bullet,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
white,A02,Bird Opening,bullet,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
black,A03,Bird Opening,bullet,intermediate,intermediate
white,A02,Bird Opening,blitz,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
white,A02,Bird Opening,rapid,intermediate,intermediate
white,A02,Bird Opening,bullet,beginner,beginner
black,A02,Bird Opening,bullet,intermediate,intermediate
white,A02,Bird Opening,blitz,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
white,A02,Bird Opening,bullet,beginner,beginner
black,A02,Bird Opening,rapid,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
white,A02,Bird Opening,blitz,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
black,A02,Bird Opening,blitz,intermediate,intermediate
black,A02,Bird Opening,bullet,beginner,beginner
black,A02,Bird Opening,rapid,intermediate,intermediate
draw,A03,Bird Opening,bullet,intermediate,intermediate
white,A03,Bird Opening,bullet,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
white,A02,Bird Opening,rapid,intermediate,intermediate
white,A02,Bird Opening,rapid,intermediate,intermediate
white,A02,Bird Opening,rapid,intermediate,intermediate
white,A02,Bird Opening,rapid,intermediate,intermediate
black,A02,Bird Opening,rapid,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
black,A02,Bird Opening,rapid,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
black,A02,Bird Opening,classical,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
black,A02,Bird Opening,bullet,intermediate,intermediate
draw,A03,Bird Opening: Dutch Variation,rapid,advanced,advanced
white,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,bullet,advanced,advanced
white,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,blitz,beginner,beginner
white,A03,Bird Opening: Dutch Variation,blitz,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,blitz,beginner,beginner
draw,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,blitz,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,blitz,intermediate,intermediate
draw,A03,Bird Opening: Dutch Variation,rapid,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,blitz,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
draw,A03,Bird Opening: Dutch Variation,rapid,advanced,advanced
black,A03,Bird Opening: Dutch Variation,rapid,intermediate,intermediate
draw,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,rapid,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,rapid,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,blitz,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,blitz,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,blitz,intermediate,intermediate
draw,A03,Bird Opening: Dutch Variation,blitz,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,blitz,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,blitz,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,blitz,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,blitz,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,rapid,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,blitz,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,bullet,advanced,advanced
black,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
draw,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,rapid,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,blitz,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
black,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,bullet,intermediate,intermediate
white,A03,Bird Opening: Dutch Variation,bullet,beginner,beginner
draw,A02,Bird Opening: Dutch Variation |  Dudweiler Gambit,bullet,intermediate,intermediate
black,A02,Bird Opening: From's Gambit,blitz,intermediate,intermediate
draw,A02,Bird Opening: From's Gambit,classical,intermediate,intermediate
white,A02,Bird Opening: From's Gambit,bullet,advanced,advanced
black,A02,Bird Opening: From's Gambit,bullet,intermediate,intermediate
black,A02,Bird Opening: From's Gambit,bullet,intermediate,intermediate
white,A02,Bird Opening: From's Gambit,blitz,beginner,beginner
black,A02,Bird Opening: From's Gambit,blitz,intermediate,intermediate
draw,A02,Bird Opening: From's Gambit,classical,intermediate,intermediate
black,A02,Bird Opening: Sturm Gambit,bullet,intermediate,intermediate
black,A03,Bird Opening: Williams Gambit,rapid,advanced,advanced
black,A03,Bird Opening: Williams Gambit,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,blitz,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,rapid,intermediate,intermediate
draw,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,blitz,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
draw,C23,Bishop's Opening,blitz,beginner,beginner
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,rapid,beginner,beginner
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,blitz,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,blitz,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
draw,C23,Bishop's Opening,blitz,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
draw,C23,Bishop's Opening,blitz,intermediate,intermediate
black,C23,Bishop's Opening,blitz,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,blitz,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,beginner,beginner
black,C23,Bishop's Opening,blitz,intermediate,intermediate
white,C23,Bishop's Opening,blitz,intermediate,intermediate
draw,C23,Bishop's Opening,blitz,intermediate,intermediate
white,C23,Bishop's Opening,bullet,beginner,beginner
white,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,blitz,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,bullet,beginner,beginner
black,C23,Bishop's Opening,bullet,beginner,beginner
black,C23,Bishop's Opening,bullet,beginner,beginner
black,C23,Bishop's Opening,bullet,beginner,beginner
white,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,blitz,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
black,C23,Bishop's Opening,bullet,intermediate,intermediate
white,C23,Bishop's Opening,blitz,intermediate,intermediate
black,C23,Bishop's Opening,rapid,beginner,beginner
